Подача и захват бумаги;CB500A;CB500A - Дополнительный податчик документов на 250 листов (лоток 3);['HP Color LaserJet CP2025', 'HP Color LaserJet CP2025x', 'HP Color LaserJet CM2320fxi MFP', 'HP Color LaserJet CP2025dn', 'HP Color LaserJet CM2320nf MFP', 'HP Color LaserJet CP2025n'];E:\Projects\PycharmProjects\parser_profit\images\hp\CB500A.jpg
Подача и захват бумаги;CC436-67904;"CC436-67904 - Комплект захвата бумаги из лотка ручной подачи (лоток 1 / включает: ролик захвата и площадку отделения) 
---
Состав:
RL1-1785-000CN - Площадка отделения бумаги(1)
RL1-1802-000CN - Ролик захвата бумаги (1)
---
Снято с производства";['HP Color LaserJet CM2320fxi MFP', 'HP Color LaserJet Pro MFP M476nw', 'Canon LASER SHOT LBP7200Cdn', 'HP Color LaserJet CM2320nf MFP', 'HP LaserJet Pro 300 color M351a', 'Canon Satera LBP7200Cd', 'HP Color LaserJet CP2025', 'HP LaserJet Pro 300 color MFP M375nw', 'Canon Satera LBP7200Cdn', 'HP Color LaserJet CP2025dn', 'HP LaserJet Pro 400 color M451dn', 'Canon i-SENSYS LBP7200Cd', 'HP Color LaserJet CP2025n', 'HP LaserJet Pro 400 color M451dw', 'Canon i-SENSYS LBP7200Cdn', 'HP Color LaserJet CP2025x', 'HP LaserJet Pro 400 color M451nw', 'Canon imageCLASS LBP7200Cdn', 'HP Color LaserJet Pro MFP M476dn', 'HP LaserJet Pro 400 color MFP M475dn', 'HP Color LaserJet CM2320 MFP', 'HP Color LaserJet Pro MFP M476dw', 'HP LaserJet Pro 400 color MFP M475dw'];E:\Projects\PycharmProjects\parser_profit\images\hp\CC436-67904.jpg
Подача и захват бумаги;RC2-2014-000CN;RC2-2014-000CN - Держатель ролика отделения бумаги из кассеты (лоток 2);['HP Color LaserJet CM2320nf MFP', 'HP LaserJet CP1525n color', 'Canon Satera LBP7200Cdn', 'HP Color LaserJet CP1215', 'HP LaserJet CP1525nw color', 'Canon i-SENSYS LBP7200Cd', 'HP Color LaserJet CP1217', 'HP LaserJet Pro 200 color M251n', 'Canon i-SENSYS LBP7200Cdn', 'HP Color LaserJet CP1515n', 'HP LaserJet Pro 200 color M251nw', 'Canon imageCLASS LBP7200Cdn', 'HP Color LaserJet CP1518ni', 'HP LaserJet Pro 200 color MFP M276n', 'HP Color LaserJet CM1312 MFP', 'HP Color LaserJet CP2025', 'HP LaserJet Pro 200 color MFP M276nw', 'HP Color LaserJet CM1312nfi MFP', 'HP Color LaserJet CP2025dn', 'HP LaserJet Pro CM1415fn Color MFP', 'HP Color LaserJet CM2320 MFP', 'HP Color LaserJet CP2025n', 'HP LaserJet Pro CM1415fnw Color MFP', 'HP Color LaserJet CM2320fxi MFP', 'HP Color LaserJet CP2025x'];E:\Projects\PycharmProjects\parser_profit\images\hp\RC2-2014-000CN.jpg
Подача и захват бумаги;RL1-1785-000CN;RL1-1785-000CN - Площадка отделения бумаги из лотка ручной подачи (лоток 1);['Canon i-SENSYS MF8330Cdn', 'HP Color LaserJet Pro MFP M476dn', 'Canon LASER SHOT LBP7200Cdn', 'Canon i-SENSYS MF8540Cdn', 'HP Color LaserJet Pro MFP M476dw', 'Canon Satera LBP7200Cd', 'Canon imageCLASS LBP7200Cdn', 'HP Color LaserJet Pro MFP M476nw', 'Canon Satera LBP7200Cdn', 'Canon imageCLASS LBP7660Cdn', 'HP LaserJet Pro 300 color M351a', 'Canon i-SENSYS LBP7200Cd', 'Canon imageCLASS MF8350Cdn', 'HP LaserJet Pro 300 color MFP M375nw', 'Canon i-SENSYS LBP7200Cdn', 'HP Color LaserJet CM2320 MFP', 'HP LaserJet Pro 400 color M451dn', 'Canon i-SENSYS LBP7210Cdn', 'HP Color LaserJet CM2320fxi MFP', 'HP LaserJet Pro 400 color M451dw', 'Canon i-SENSYS LBP7660Cdn', 'HP Color LaserJet CM2320nf MFP', 'HP LaserJet Pro 400 color M451nw', 'Canon i-SENSYS LBP7680Cx', 'HP Color LaserJet CP2025', 'HP LaserJet Pro 400 color MFP M475dn', 'Canon i-SENSYS MF724Cdw', 'HP Color LaserJet CP2025dn', 'HP LaserJet Pro 400 color MFP M475dw', 'Canon i-SENSYS MF728Cdw', 'HP Color LaserJet CP2025n', 'Canon i-SENSYS MF729Cx', 'HP Color LaserJet CP2025x'];E:\Projects\PycharmProjects\parser_profit\images\hp\RL1-1785-000CN.jpg
Подача и захват бумаги;RL1-1802-000CN;RL1-1802-000CN - Ролик захвата бумаги из лотка ручной подачи (лоток 1);['Canon i-SENSYS MF729Cx', 'HP Color LaserJet CP2025x', 'Canon LASER SHOT LBP7200Cdn', 'Canon i-SENSYS MF8330Cdn', 'HP Color LaserJet Pro MFP M476dn', 'Canon Satera LBP7200Cd', 'Canon i-SENSYS MF8540Cdn', 'HP Color LaserJet Pro MFP M476dw', 'Canon Satera LBP7200Cdn', 'Canon imageCLASS LBP7200Cdn', 'HP Color LaserJet Pro MFP M476nw', 'Canon i-SENSYS LBP7200Cd', 'Canon imageCLASS LBP7660Cdn', 'HP LaserJet Pro 300 color M351a', 'Canon i-SENSYS LBP7200Cdn', 'HP Color LaserJet CM2320 MFP', 'HP LaserJet Pro 300 color MFP M375nw', 'Canon i-SENSYS LBP7210Cdn', 'HP Color LaserJet CM2320fxi MFP', 'HP LaserJet Pro 400 color M451dn', 'Canon i-SENSYS LBP7660Cdn', 'HP Color LaserJet CM2320nf MFP', 'HP LaserJet Pro 400 color M451dw', 'Canon i-SENSYS LBP7680Cx', 'HP Color LaserJet CP2025', 'HP LaserJet Pro 400 color M451nw', 'Canon i-SENSYS MF724Cdw', 'HP Color LaserJet CP2025dn', 'HP LaserJet Pro 400 color MFP M475dn', 'Canon i-SENSYS MF728Cdw', 'HP Color LaserJet CP2025n', 'HP LaserJet Pro 400 color MFP M475dw'];E:\Projects\PycharmProjects\parser_profit\images\hp\RL1-1802-000CN.jpg
Подача и захват бумаги;RM1-4426-000CN;RM1-4426-000CN - Ролик захвата бумаги из кассеты;['Canon i-SENSYS MF8050Cn', 'HP Color LaserJet CP2025dn', 'Canon LASER SHOT LBP5050n', 'Canon i-SENSYS MF8230Cn', 'HP Color LaserJet CP2025n', 'Canon LASER SHOT LBP7200Cd', 'Canon i-SENSYS MF8280Cw', 'HP Color LaserJet CP2025x', 'Canon LASER SHOT LBP7200Cdn', 'Canon i-SENSYS MF8330Cdn', 'HP Color LaserJet Pro MFP M476dn', 'Canon Satera LBP7200Cd', 'Canon i-SENSYS MF8540Cdn', 'HP Color LaserJet Pro MFP M476dw', 'Canon Satera LBP7200Cdn', 'Canon imageCLASS LBP7110Cw', 'HP Color LaserJet Pro MFP M476nw', 'Canon Satera MF8230Cn', 'Canon imageCLASS LBP7200Cdn', 'HP LaserJet CP1525n color', 'Canon Satera MF8280Cn', 'Canon imageCLASS LBP7660Cdn', 'HP LaserJet CP1525nw', 'Canon i-SENSYS LBP5050', 'Canon imageCLASS MF8030Cn', 'HP LaserJet Pro 200 color M251n', 'Canon i-SENSYS LBP5050n', 'Canon imageCLASS MF8050Cn', 'HP LaserJet Pro 200 color M251nw', 'Canon i-SENSYS LBP7100Cn', 'Canon imageCLASS MF8280Cw', 'HP LaserJet Pro 200 color MFP M276n', 'Canon i-SENSYS LBP7110Cw', 'HP Color LaserJet CM1312 MFP', 'HP LaserJet Pro 200 color MFP M276nw', 'Canon i-SENSYS LBP7200Cd', 'HP Color LaserJet CM1312nfi MFP', 'HP LaserJet Pro 300 color M351a', 'Canon i-SENSYS LBP7200Cdn', 'HP Color LaserJet CM2320 MFP', 'HP LaserJet Pro 300 color MFP M375nw', 'Canon i-SENSYS LBP7210Cdn', 'HP Color LaserJet CM2320fxi MFP', 'HP LaserJet Pro 400 color M451dn', 'Canon i-SENSYS LBP7660Cdn', 'HP Color LaserJet CM2320nf MFP', 'HP LaserJet Pro 400 color M451dw', 'Canon i-SENSYS LBP7680Cx', 'HP Color LaserJet CP1215', 'HP LaserJet Pro 400 color M451nw', 'Canon i-SENSYS MF724Cdw', 'HP Color LaserJet CP1217', 'HP LaserJet Pro 400 color MFP M475dn', 'Canon i-SENSYS MF728Cdw', 'HP Color LaserJet CP1515n', 'HP LaserJet Pro 400 color MFP M475dw', 'Canon i-SENSYS MF729Cx', 'HP Color LaserJet CP1518ni', 'HP LaserJet Pro CM1415fn Color MFP', 'Canon i-SENSYS MF8030Cn', 'HP Color LaserJet CP2025', 'HP LaserJet Pro CM1415fnw Color MFP'];E:\Projects\PycharmProjects\parser_profit\images\hp\RM1-4426-000CN.jpg
Подача и захват бумаги;RM1-4426-000CN;CN | RM1-4426-000CN - Ролик захвата бумаги из кассеты;['Canon i-SENSYS MF8050Cn', 'HP Color LaserJet CP2025dn', 'Canon LASER SHOT LBP5050n', 'Canon i-SENSYS MF8230Cn', 'HP Color LaserJet CP2025n', 'Canon LASER SHOT LBP7200Cd', 'Canon i-SENSYS MF8280Cw', 'HP Color LaserJet CP2025x', 'Canon LASER SHOT LBP7200Cdn', 'Canon i-SENSYS MF8330Cdn', 'HP Color LaserJet Pro MFP M476dn', 'Canon Satera LBP7200Cd', 'Canon i-SENSYS MF8540Cdn', 'HP Color LaserJet Pro MFP M476dw', 'Canon Satera LBP7200Cdn', 'Canon imageCLASS LBP7110Cw', 'HP Color LaserJet Pro MFP M476nw', 'Canon Satera MF8230Cn', 'Canon imageCLASS LBP7200Cdn', 'HP LaserJet CP1525n color', 'Canon Satera MF8280Cn', 'Canon imageCLASS LBP7660Cdn', 'HP LaserJet CP1525nw', 'Canon i-SENSYS LBP5050', 'Canon imageCLASS MF8030Cn', 'HP LaserJet Pro 200 color M251n', 'Canon i-SENSYS LBP5050n', 'Canon imageCLASS MF8050Cn', 'HP LaserJet Pro 200 color M251nw', 'Canon i-SENSYS LBP7100Cn', 'Canon imageCLASS MF8280Cw', 'HP LaserJet Pro 200 color MFP M276n', 'Canon i-SENSYS LBP7110Cw', 'HP Color LaserJet CM1312 MFP', 'HP LaserJet Pro 200 color MFP M276nw', 'Canon i-SENSYS LBP7200Cd', 'HP Color LaserJet CM1312nfi MFP', 'HP LaserJet Pro 300 color M351a', 'Canon i-SENSYS LBP7200Cdn', 'HP Color LaserJet CM2320 MFP', 'HP LaserJet Pro 300 color MFP M375nw', 'Canon i-SENSYS LBP7210Cdn', 'HP Color LaserJet CM2320fxi MFP', 'HP LaserJet Pro 400 color M451dn', 'Canon i-SENSYS LBP7660Cdn', 'HP Color LaserJet CM2320nf MFP', 'HP LaserJet Pro 400 color M451dw', 'Canon i-SENSYS LBP7680Cx', 'HP Color LaserJet CP1215', 'HP LaserJet Pro 400 color M451nw', 'Canon i-SENSYS MF724Cdw', 'HP Color LaserJet CP1217', 'HP LaserJet Pro 400 color MFP M475dn', 'Canon i-SENSYS MF728Cdw', 'HP Color LaserJet CP1515n', 'HP LaserJet Pro 400 color MFP M475dw', 'Canon i-SENSYS MF729Cx', 'HP Color LaserJet CP1518ni', 'HP LaserJet Pro CM1415fn Color MFP', 'Canon i-SENSYS MF8030Cn', 'HP Color LaserJet CP2025', 'HP LaserJet Pro CM1415fnw Color MFP', 'Canon LASER SHOT LBP5050', 'Canon i-SENSYS MF8050Cn', 'HP Color LaserJet CP2025dn', 'Canon LASER SHOT LBP5050n', 'Canon i-SENSYS MF8230Cn', 'HP Color LaserJet CP2025n', 'Canon LASER SHOT LBP7200Cd', 'Canon i-SENSYS MF8280Cw', 'HP Color LaserJet CP2025x', 'Canon LASER SHOT LBP7200Cdn', 'Canon i-SENSYS MF8330Cdn', 'HP Color LaserJet Pro MFP M476dn', 'Canon Satera LBP7200Cd', 'Canon i-SENSYS MF8540Cdn', 'HP Color LaserJet Pro MFP M476dw', 'Canon Satera LBP7200Cdn', 'Canon imageCLASS LBP7110Cw', 'HP Color LaserJet Pro MFP M476nw', 'Canon Satera MF8230Cn', 'Canon imageCLASS LBP7200Cdn', 'HP LaserJet CP1525n color', 'Canon Satera MF8280Cn', 'Canon imageCLASS LBP7660Cdn', 'HP LaserJet CP1525nw', 'Canon i-SENSYS LBP5050', 'Canon imageCLASS MF8030Cn', 'HP LaserJet Pro 200 color M251n', 'Canon i-SENSYS LBP5050n', 'Canon imageCLASS MF8050Cn', 'HP LaserJet Pro 200 color M251nw', 'Canon i-SENSYS LBP7100Cn', 'Canon imageCLASS MF8280Cw', 'HP LaserJet Pro 200 color MFP M276n', 'Canon i-SENSYS LBP7110Cw', 'HP Color LaserJet CM1312 MFP', 'HP LaserJet Pro 200 color MFP M276nw', 'Canon i-SENSYS LBP7200Cd', 'HP Color LaserJet CM1312nfi MFP', 'HP LaserJet Pro 300 color M351a', 'Canon i-SENSYS LBP7200Cdn', 'HP Color LaserJet CM2320 MFP', 'HP LaserJet Pro 300 color MFP M375nw', 'Canon i-SENSYS LBP7210Cdn', 'HP Color LaserJet CM2320fxi MFP', 'HP LaserJet Pro 400 color M451dn', 'Canon i-SENSYS LBP7660Cdn', 'HP Color LaserJet CM2320nf MFP', 'HP LaserJet Pro 400 color M451dw', 'Canon i-SENSYS LBP7680Cx', 'HP Color LaserJet CP1215', 'HP LaserJet Pro 400 color M451nw', 'Canon i-SENSYS MF724Cdw', 'HP Color LaserJet CP1217', 'HP LaserJet Pro 400 color MFP M475dn', 'Canon i-SENSYS MF728Cdw', 'HP Color LaserJet CP1515n', 'HP LaserJet Pro 400 color MFP M475dw', 'Canon i-SENSYS MF729Cx', 'HP Color LaserJet CP1518ni', 'HP LaserJet Pro CM1415fn Color MFP', 'Canon i-SENSYS MF8030Cn', 'HP Color LaserJet CP2025', 'HP LaserJet Pro CM1415fnw Color MFP', 'Canon LASER SHOT LBP5050', 'Canon i-SENSYS MF8050Cn', 'HP Color LaserJet CP2025n', 'Canon LASER SHOT LBP5050n', 'Canon i-SENSYS MF8230Cn', 'HP Color LaserJet CP2025x', 'Canon LASER SHOT LBP7200Cd', 'Canon i-SENSYS MF8280Cw', 'HP Color LaserJet Pro MFP M476dn', 'Canon LASER SHOT LBP7200Cdn', 'Canon i-SENSYS MF8540Cdn', 'HP Color LaserJet Pro MFP M476dw', 'Canon Satera LBP7200Cd', 'Canon imageCLASS LBP7110Cw', 'HP Color LaserJet Pro MFP M476nw', 'Canon Satera LBP7200Cdn', 'Canon imageCLASS LBP7200Cdn', 'HP LaserJet CP1525n color', 'Canon Satera MF8230Cn', 'Canon imageCLASS LBP7660Cdn', 'HP LaserJet CP1525nw', 'Canon Satera MF8280Cn', 'Canon imageCLASS MF8030Cn', 'HP LaserJet Pro 200 color M251n', 'Canon i-SENSYS LBP5050', 'Canon imageCLASS MF8050Cn', 'HP LaserJet Pro 200 color M251nw', 'Canon i-SENSYS LBP5050n', 'Canon imageCLASS MF8280Cw', 'HP LaserJet Pro 200 color MFP M276n', 'Canon i-SENSYS LBP7100Cn', 'HP Color LaserJet CM1312 MFP', 'HP LaserJet Pro 200 color MFP M276nw', 'Canon i-SENSYS LBP7110Cw', 'HP Color LaserJet CM1312nfi MFP', 'HP LaserJet Pro 300 color M351a', 'Canon i-SENSYS LBP7200Cd', 'HP Color LaserJet CM2320 MFP', 'HP LaserJet Pro 300 color MFP M375nw', 'Canon i-SENSYS LBP7200Cdn', 'HP Color LaserJet CM2320fxi MFP', 'HP LaserJet Pro 400 color M451dn', 'Canon i-SENSYS LBP7210Cdn', 'HP Color LaserJet CM2320nf MFP', 'HP LaserJet Pro 400 color M451dw', 'Canon i-SENSYS LBP7660Cdn', 'HP Color LaserJet CP1215', 'HP LaserJet Pro 400 color M451nw', 'Canon i-SENSYS LBP7680Cx', 'HP Color LaserJet CP1217', 'HP LaserJet Pro 400 color MFP M475dn', 'Canon i-SENSYS MF724Cdw', 'HP Color LaserJet CP1515n', 'HP LaserJet Pro 400 color MFP M475dw', 'Canon i-SENSYS MF728Cdw', 'HP Color LaserJet CP1518ni', 'HP LaserJet Pro CM1415fn Color MFP', 'Canon i-SENSYS MF729Cx', 'HP Color LaserJet CP2025', 'HP LaserJet Pro CM1415fnw Color MFP', 'Canon i-SENSYS MF8030Cn', 'HP Color LaserJet CP2025dn'];E:\Projects\PycharmProjects\parser_profit\images\hp\RM1-4426-000CN.jpg
Подача и захват бумаги;RM1-4839-000CN;RM1-4839-000CN - Узел захвата бумаги из лотка ручной подачи, в сборе (лоток 1);['HP Color LaserJet CP2025', 'HP Color LaserJet CP2025x', 'HP Color LaserJet CM2320fxi MFP', 'HP Color LaserJet CP2025dn', 'HP Color LaserJet CM2320nf MFP', 'HP Color LaserJet CP2025n'];E:\Projects\PycharmProjects\parser_profit\images\hp\RM1-4839-000CN.jpg
Подача и захват бумаги;RM1-4840-000CN;RM1-4840-000CN - Ролик отделения бумаги из кассеты, в сборе (лоток 2);['Canon i-SENSYS MF8230Cn', 'HP Color LaserJet CP2025x', 'Canon LASER SHOT LBP5050n', 'Canon i-SENSYS MF8330Cdn', 'HP Color LaserJet Pro MFP M476dn', 'Canon LASER SHOT LBP7200Cd', 'Canon i-SENSYS MF8540Cdn', 'HP Color LaserJet Pro MFP M476dw', 'Canon LASER SHOT LBP7200Cdn', 'Canon imageCLASS LBP7200Cdn', 'HP Color LaserJet Pro MFP M476nw', 'Canon Satera LBP7200Cd', 'Canon imageCLASS LBP7660Cdn', 'HP LaserJet CP1525n color', 'Canon Satera LBP7200Cdn', 'Canon imageCLASS MF8030Cn', 'HP LaserJet CP1525nw color', 'Canon Satera MF8230Cn', 'Canon imageCLASS MF8050Cn', 'HP LaserJet Pro 200 color M251n', 'Canon i-SENSYS LBP5050', 'HP Color LaserJet CM1312 MFP', 'HP LaserJet Pro 200 color M251nw', 'Canon i-SENSYS LBP5050n', 'HP Color LaserJet CM1312nfi MFP', 'HP LaserJet Pro 200 color MFP M276n', 'Canon i-SENSYS LBP7200Cd', 'HP Color LaserJet CM2320 MFP', 'HP LaserJet Pro 200 color MFP M276nw', 'Canon i-SENSYS LBP7200Cdn', 'HP Color LaserJet CM2320fxi MFP', 'HP LaserJet Pro 300 color M351a', 'Canon i-SENSYS LBP7210Cdn', 'HP Color LaserJet CM2320nf MFP', 'HP LaserJet Pro 300 color MFP M375nw', 'Canon i-SENSYS LBP7660Cdn', 'HP Color LaserJet CP1215', 'HP LaserJet Pro 400 color M451dn', 'Canon i-SENSYS LBP7680Cx', 'HP Color LaserJet CP1217', 'HP LaserJet Pro 400 color M451dw', 'Canon i-SENSYS MF724Cdw', 'HP Color LaserJet CP1515n', 'HP LaserJet Pro 400 color M451nw', 'Canon i-SENSYS MF728Cdw', 'HP Color LaserJet CP1518ni', 'HP LaserJet Pro 400 color MFP M475dn', 'Canon i-SENSYS MF729Cx', 'HP Color LaserJet CP2025', 'HP LaserJet Pro 400 color MFP M475dw', 'Canon i-SENSYS MF8030Cn', 'HP Color LaserJet CP2025dn', 'HP LaserJet Pro CM1415fn Color MFP', 'Canon i-SENSYS MF8050Cn', 'HP Color LaserJet CP2025n', 'HP LaserJet Pro CM1415fnw Color MFP'];E:\Projects\PycharmProjects\parser_profit\images\hp\RM1-4840-000CN.jpg
Подача и захват бумаги;RM1-8765-000CN;HP | RM1-8765-000CN - Ролик отделения бумаги из кассеты, в сборе;['Canon i-SENSYS MF8230Cn', 'HP Color LaserJet Pro MFP M476dn', 'Canon LASER SHOT LBP5050n', 'Canon i-SENSYS MF8540Cdn', 'HP Color LaserJet Pro MFP M476dw', 'Canon LASER SHOT LBP7200Cd', 'Canon imageCLASS LBP7200Cdn', 'HP Color LaserJet Pro MFP M476nw', 'Canon LASER SHOT LBP7200Cdn', 'Canon imageCLASS LBP7660Cdn', 'HP LaserJet CP1525n color', 'Canon Satera LBP7200Cd', 'Canon imageCLASS MF8030Cn', 'HP LaserJet CP1525nw color', 'Canon Satera LBP7200Cdn', 'Canon imageCLASS MF8050Cn', 'HP LaserJet Pro 200 color M251n', 'Canon Satera MF8230Cn', 'HP Color LaserJet CM1312 MFP', 'HP LaserJet Pro 200 color M251nw', 'Canon i-SENSYS LBP5050', 'HP Color LaserJet CM1312nfi MFP', 'HP LaserJet Pro 200 color MFP M276n', 'Canon i-SENSYS LBP5050n', 'HP Color LaserJet CM2320 MFP', 'HP LaserJet Pro 200 color MFP M276nw', 'Canon i-SENSYS LBP7200Cd', 'HP Color LaserJet CM2320fxi MFP', 'HP LaserJet Pro 300 color M351a', 'Canon i-SENSYS LBP7200Cdn', 'HP Color LaserJet CM2320nf MFP', 'HP LaserJet Pro 300 color MFP M375nw', 'Canon i-SENSYS LBP7210Cdn', 'HP Color LaserJet CP1215', 'HP LaserJet Pro 400 color M451dn', 'Canon i-SENSYS LBP7660Cdn', 'HP Color LaserJet CP1217', 'HP LaserJet Pro 400 color M451dw', 'Canon i-SENSYS LBP7680Cx', 'HP Color LaserJet CP1515n', 'HP LaserJet Pro 400 color M451nw', 'Canon i-SENSYS MF724Cdw', 'HP Color LaserJet CP1518ni', 'HP LaserJet Pro 400 color MFP M475dn', 'Canon i-SENSYS MF728Cdw', 'HP Color LaserJet CP2025', 'HP LaserJet Pro 400 color MFP M475dw', 'Canon i-SENSYS MF729Cx', 'HP Color LaserJet CP2025dn', 'HP LaserJet Pro CM1415fn Color MFP', 'Canon i-SENSYS MF8030Cn', 'HP Color LaserJet CP2025n', 'HP LaserJet Pro CM1415fnw Color MFP', 'Canon i-SENSYS MF8050Cn', 'HP Color LaserJet CP2025x'];E:\Projects\PycharmProjects\parser_profit\images\hp\RM1-8765-000CN.jpg
